特征,重要性
Height,0.18522188948872578
Age,0.16256649682286503
FCVC,0.12547044625746048
Weight,0.11767759418678111
Activity_Index,0.10752977271386432
FAF,0.08653969809648202
CH2O,0.06036519065560715
TUE,0.03635805881096398
NCP,0.02668013386689565
Age_Group,0.018616165547255387
BMI_Category,0.016029904506612885
CALC,0.012491127107283706
MTRANS,0.012002676379318315
SCC,0.004926899231094033
SMOKE,0.004870039321569499
family_history_with_overweight,0.004709569892596055
Gender,0.0042424846010128536
CAEC,0.0039818375230822245
FAVC,0.003887344349803435
Healthy_Eater,0.0032537253330233067
Regular_Eater,0.0025789453077028892
